"loan_status","customer_id","age","occupation_status","years_employed","annual_income","credit_score","credit_history_years","savings_assets","current_debt","defaults_on_file","delinquencies_last_2yrs","derogatory_marks","product_type","loan_intent","loan_amount","interest_rate","debt_to_income_ratio","loan_to_income_ratio","payment_to_income_ratio","confidence(false)","confidence(true)","prediction(loan_status)"
"false","CUST100012",37,"Employed",1.3,49084,580,11.3,1289,21106,0,0,1,"Line of Credit","Medical",40800,13.12,0.43,0.831,0.277,0.7638682890173875,0.2361317109826125,"false"
"true","CUST100013",18,"Employed",0.0,55958,681,1.4,378,14090,0,0,0,"Credit Card","Education",18000,17.78,0.252,0.322,0.107,0.2676617697507917,0.7323382302492083,"true"
"true","CUST100017",38,"Employed",5.3,53356,671,19.8,6339,23085,0,1,0,"Credit Card","Debt Consolidation",18700,17.58,0.433,0.35,0.117,0.3461763910306572,0.6538236089693428,"true"
"true","CUST100021",32,"Employed",1.3,109702,720,10.4,2790,42534,0,0,0,"Credit Card","Personal",4000,17.41,0.388,0.036,0.012,0.16298474183027767,0.8370152581697223,"true"
"true","CUST100026",21,"Employed",2.9,31219,656,1.0,54,5261,0,0,0,"Credit Card","Business",19400,17.94,0.169,0.621,0.207,0.2986939343346495,0.7013060656653505,"true"
"true","CUST100030",27,"Employed",6.2,32073,619,8.0,274,6458,0,0,0,"Personal Loan","Medical",50600,13.03,0.201,1.578,0.526,0.5264089250614034,0.47359107493859665,"false"
"false","CUST100031",57,"Self-Employed",21.5,38484,696,10.5,4316,18674,0,1,0,"Line of Credit","Medical",18500,9.95,0.485,0.481,0.16,0.3483116058937836,0.6516883941062164,"true"
"false","CUST100035",20,"Employed",1.0,21651,703,1.7,52,12414,0,1,0,"Credit Card","Personal",30000,16.23,0.573,1.386,0.462,0.7684428529428583,0.23155714705714167,"false"
"false","CUST100043",31,"Employed",10.0,51632,677,11.0,3117,32886,0,0,0,"Credit Card","Personal",59700,18.54,0.637,1.156,0.385,0.6634389716461999,0.33656102835380014,"false"
"true","CUST100046",29,"Employed",4.6,23699,646,3.2,105,5021,0,1,0,"Credit Card","Education",27100,20.09,0.212,1.144,0.381,0.516063331658412,0.483936668341588,"false"
"true","CUST100050",38,"Employed",7.8,47368,659,1.1,15,10330,0,0,0,"Line of Credit","Education",37600,9.95,0.218,0.794,0.265,0.3117240943755386,0.6882759056244614,"true"
"false","CUST100056",24,"Employed",2.1,34736,594,0.4,29,2283,0,2,0,"Credit Card","Education",43600,22.43,0.066,1.255,0.418,0.6848041364784805,0.31519586352151957,"false"
"true","CUST100070",39,"Employed",20.4,31003,702,0.9,104,6705,0,0,0,"Line of Credit","Personal",8600,8.1,0.216,0.277,0.092,0.14133940004860535,0.8586605999513947,"true"
